"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"node_attribute","8","NODE_SCRIPT_POSITION","3,5"
"node_attribute","8","NODE_SCRIPT_STOP_POSITION","43,7"
"node_attribute","9","NODE_SCRIPT_POSITION","8,1"
"node_attribute","9","NODE_SCRIPT_STOP_POSITION","16,4"
"node_attribute","10","NODE_SCRIPT_POSITION","9,1"
"node_attribute","10","NODE_SCRIPT_STOP_POSITION","12,53"
"node_attribute","12","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","13","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","14","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","15","OBJECT_SOURCE_TYPE","DEDUCTION"
"node_attribute","16","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","17","NODE_SCRIPT_POSITION","10,48"
"node_attribute","17","NODE_SCRIPT_STOP_POSITION","10,50"
"node_attribute","18","NODE_SCRIPT_POSITION","10,48"
"node_attribute","18","NODE_SCRIPT_STOP_POSITION","10,50"
"node_attribute","18","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","19","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","19","ORDER","3"
"node_attribute","19","PARAMETER_TYPE","IN"
"node_attribute","20","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","20","ORDER","2"
"node_attribute","20","PARAMETER_TYPE","IN"
"node_attribute","21","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","21","ORDER","1"
"node_attribute","21","PARAMETER_TYPE","IN"
"node_attribute","25","error","Error while parsing script"
"node_attribute","26","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","26","sourceLocation","8"
"node_attribute","26","sourceEncoding","utf8"
"node_attribute","26","CONNECTION","db2dict"
"node_attribute","27","NODE_SCRIPT_POSITION","1,1"
"node_attribute","27","NODE_SCRIPT_STOP_POSITION","42,4"
"node_attribute","28","NODE_SCRIPT_POSITION","3,1"
"node_attribute","28","NODE_SCRIPT_STOP_POSITION","42,4"
"node_attribute","29","NODE_SCRIPT_POSITION","9,1"
"node_attribute","29","NODE_SCRIPT_STOP_POSITION","18,4"
"node_attribute","30","NODE_SCRIPT_POSITION","10,1"
"node_attribute","30","NODE_SCRIPT_STOP_POSITION","14,31"
"node_attribute","32","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","33","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","34","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","35","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","36","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","36","ORDER","3"
"node_attribute","36","PARAMETER_TYPE","IN"
"node_attribute","37","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","37","ORDER","2"
"node_attribute","37","PARAMETER_TYPE","IN"
"node_attribute","38","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","38","ORDER","1"
"node_attribute","38","PARAMETER_TYPE","IN"
