"source_code","5","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124951056.sql","15dba04a2d0401391cd85e8485b9b5c5","DB2","db2dict"
"node_attribute","86","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","87","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","88","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","89","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","90","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","91","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","92","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","93","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","94","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","95","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","96","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","97","OBJECT_SOURCE_TYPE","DICTIONARY"
"edge","0","85","97","DIRECT","2"
"edge","1","84","96","DIRECT","2"
"edge","2","83","95","DIRECT","2"
"edge","3","82","94","DIRECT","2"
"edge","4","81","93","DIRECT","2"
"edge","5","80","92","DIRECT","2"
"edge","6","79","91","DIRECT","2"
"edge","7","78","90","DIRECT","2"
"edge","8","77","89","DIRECT","2"
"edge","9","76","88","DIRECT","2"
"edge","10","75","87","DIRECT","2"
"edge","11","74","86","DIRECT","2"
"edge","12","67","97","DIRECT","2"
"edge","13","66","96","DIRECT","2"
"edge","14","65","95","DIRECT","2"
"edge","15","64","94","DIRECT","2"
"edge","16","63","93","DIRECT","2"
"edge","17","62","92","DIRECT","2"
"edge","18","61","91","DIRECT","2"
"edge","19","60","90","DIRECT","2"
"edge","20","59","89","DIRECT","2"
"edge","21","58","88","DIRECT","2"
"edge","22","57","87","DIRECT","2"
"edge","23","56","71","DIRECT","2"
"edge","24","55","86","DIRECT","2"
"edge","25","54","70","DIRECT","2"
"edge","26","53","69","DIRECT","2"
"edge","27","72","56","DIRECT","2"
"edge","28","33","85","FILTER","2"
"edge","29","30","85","FILTER","2"
"edge","30","47","85","DIRECT","2"
"edge","31","31","85","FILTER","2"
"edge","32","42","85","FILTER","2"
"edge","33","33","67","FILTER","2"
"edge","34","30","67","FILTER","2"
"edge","35","47","67","DIRECT","2"
"edge","36","31","67","FILTER","2"
"edge","37","42","67","FILTER","2"
"edge","38","46","66","DIRECT","2"
"edge","39","30","66","FILTER","2"
"edge","40","31","66","FILTER","2"
"edge","41","42","66","FILTER","2"
"edge","42","33","66","FILTER","2"
"edge","43","46","84","DIRECT","2"
"edge","44","30","84","FILTER","2"
"edge","45","31","84","FILTER","2"
"edge","46","42","84","FILTER","2"
"edge","47","33","84","FILTER","2"
"edge","48","42","65","FILTER","2"
"edge","49","30","65","FILTER","2"
"edge","50","33","65","FILTER","2"
"edge","51","45","65","DIRECT","2"
"edge","52","31","65","FILTER","2"
"edge","53","42","83","FILTER","2"
"edge","54","30","83","FILTER","2"
"edge","55","33","83","FILTER","2"
"edge","56","45","83","DIRECT","2"
"edge","57","31","83","FILTER","2"
"edge","58","44","64","DIRECT","2"
"edge","59","42","64","FILTER","2"
"edge","60","30","64","FILTER","2"
"edge","61","33","64","FILTER","2"
"edge","62","31","64","FILTER","2"
"edge","63","44","82","DIRECT","2"
"edge","64","42","82","FILTER","2"
"edge","65","30","82","FILTER","2"
"edge","66","33","82","FILTER","2"
"edge","67","31","82","FILTER","2"
"edge","68","43","63","DIRECT","2"
"edge","69","30","63","FILTER","2"
"edge","70","33","63","FILTER","2"
"edge","71","31","63","FILTER","2"
"edge","72","42","63","FILTER","2"
"edge","73","43","81","DIRECT","2"
"edge","74","30","81","FILTER","2"
"edge","75","33","81","FILTER","2"
"edge","76","31","81","FILTER","2"
"edge","77","42","81","FILTER","2"
"edge","78","42","80","FILTER","2"
"edge","79","33","80","FILTER","2"
